METAPOPULATION MODEL results; Date=8/6/2023 Time=09:37:55
===========================================================
B20




   54 populations (54 included in summation)
 1000 replications;  Duration = 100
===========================================================

Trajectory summary (Metapopulation)

      Time                        Abundance
             Minimum    -1 S.D.    Average    +1 S.D.    Maximum
       91       0.00       0.00       0.00       0.00       0.00
       92       0.00       0.00       0.00       0.00       0.00
       93       0.00       0.00       0.00       0.00       0.00
       94       0.00       0.00       0.00       0.00       0.00
       95       0.00       0.00       0.00       0.00       0.00
       96       0.00       0.00       0.00       0.00       0.00
       97       0.00       0.00       0.00       0.00       0.00
       98       0.00       0.00       0.00       0.00       0.00
       99       0.00       0.00       0.00       0.00       0.00
      100       0.00       0.00       0.00       0.00       0.00

Trajectory summary (Population 35: Pop 35)

      Time                        Abundance
             Minimum    -1 S.D.    Average    +1 S.D.    Maximum
        0       1.00       1.00       1.00       1.00       1.00
        1       0.00       0.12       1.30       2.48       6.00
        2       0.00      -0.22       1.39       3.01      11.00
        3       0.00      -0.41       1.41       3.24       9.00
        4       0.00      -0.50       1.28       3.05       9.00
        5       0.00      -0.61       1.15       2.92      11.00
        6       0.00      -0.72       1.09       2.89      11.00
        7       0.00      -0.81       0.97       2.74      10.00
        8       0.00      -0.78       0.81       2.41      10.00
        9       0.00      -0.82       0.75       2.31      11.00
       10       0.00       0.00       0.00       0.00       0.00
       11       0.00       0.00       0.00       0.00       0.00
       12       0.00       0.00       0.00       0.00       0.00
       13       0.00       0.00       0.00       0.00       0.00
       14       0.00       0.00       0.00       0.00       0.00
       15       0.00       0.00       0.00       0.00       0.00
       16       0.00       0.00       0.00       0.00       0.00
       17       0.00       0.00       0.00       0.00       0.00
       18       0.00       0.00       0.00       0.00       0.00
       19       0.00       0.00       0.00       0.00       0.00
       20       0.00       0.00       0.00       0.00       0.00
       21       0.00       0.00       0.00       0.00       0.00
       22       0.00       0.00       0.00       0.00       0.00
       23       0.00       0.00       0.00       0.00       0.00
       24       0.00       0.00       0.00       0.00       0.00
       25       0.00       0.00       0.00       0.00       0.00
       26       0.00       0.00       0.00       0.00       0.00
       27       0.00       0.00       0.00       0.00       0.00
       28       0.00       0.00       0.00       0.00       0.00
       29       0.00       0.00       0.00       0.00       0.00
       30       0.00       0.00       0.00       0.00       0.00
       31       0.00       0.00       0.00       0.00       0.00
       32       0.00       0.00       0.00       0.00       0.00
       33       0.00       0.00       0.00       0.00       0.00
       34       0.00       0.00       0.00       0.00       0.00
       35       0.00       0.00       0.00       0.00       0.00
       36       0.00       0.00       0.00       0.00       0.00
       37       0.00       0.00       0.00       0.00       0.00
       38       0.00       0.00       0.00       0.00       0.00
       39       0.00       0.00       0.00       0.00       0.00
       40       0.00       0.00       0.00       0.00       0.00
       41       0.00       0.00       0.00       0.00       0.00
       42       0.00       0.00       0.00       0.00       0.00
       43       0.00       0.00       0.00       0.00       0.00
       44       0.00       0.00       0.00       0.00       0.00
       45       0.00       0.00       0.00       0.00       0.00
       46       0.00       0.00       0.00       0.00       0.00
       47       0.00       0.00       0.00       0.00       0.00
       48       0.00       0.00       0.00       0.00       0.00
       49       0.00       0.00       0.00       0.00       0.00
       50       0.00       0.00       0.00       0.00       0.00
       51       0.00       0.00       0.00       0.00       0.00
       52       0.00       0.00       0.00       0.00       0.00
       53       0.00       0.00       0.00       0.00       0.00
       54       0.00       0.00       0.00       0.00       0.00
       55       0.00       0.00       0.00       0.00       0.00
       56       0.00       0.00       0.00       0.00       0.00
       57       0.00       0.00       0.00       0.00       0.00
       58       0.00       0.00       0.00       0.00       0.00
       59       0.00       0.00       0.00       0.00       0.00
       60       0.00       0.00       0.00       0.00       0.00
       61       0.00       0.00       0.00       0.00       0.00
       62       0.00       0.00       0.00       0.00       0.00
       63       0.00       0.00       0.00       0.00       0.00
       64       0.00       0.00       0.00       0.00       0.00
       65       0.00       0.00       0.00       0.00       0.00
       66       0.00       0.00       0.00       0.00       0.00
       67       0.00       0.00       0.00       0.00       0.00
       68       0.00       0.00       0.00       0.00       0.00
       69       0.00       0.00       0.00       0.00       0.00
       70       0.00       0.00       0.00       0.00       0.00
       71       0.00       0.00       0.00       0.00       0.00
       72       0.00       0.00       0.00       0.00       0.00
